Nombre inmueble,Latitud,Longitud
Forjadores de Baja California,25.044347,-111.676083
Marcelo Rubio Ruiz,24.931603,-111.628708
Melchor Ocampo,25.113497,-111.827108
Secundaria TÈcnica No. 2,25.257778,-111.774739
Secundaria TÈcnica No. 4,24.785642,-112.107269
Secundaria TÈcnica No. 7,25.334619,-111.637292
Secundaria TÈcnica √Ç¬†No. 15,26.202447,-112.046347
COBACH No. 5,25.026336,-111.652614
Civilizadores de B.C.S.,26.018339,-111.346672
Juan Felipe Lagos,26.001792,-111.340208
Centro de AtenciÛn M˙ltiple Mercedes Davis,26.007275,-111.356311
Benito J˙arez,25.255828,-110.955086
Estado de Hidalgo,25.863844,-111.544406
JosÈ Vasconcelos,25.734633,-111.270669
Leandro Valle,25.512769,-111.072
Nueva CreaciÛn,26.021789,-111.367686
Benito J˙arez,26.022114,-111.350289
UABCS Campus Loreto,26.011975,-111.347633
Centro de Estudios de Bachillerato,26.010369,-111.354003
CREN,26.007139,-111.348758
Miguel Hidalgo,27.344308,-112.271686
Benito J˙arez,27.336106,-112.271725
Cuauhtemoc,27.336114,-112.267892
Jes˙s LÛpez Gastelum,27.324022,-112.259119
Antonio F. Delgado,27.333344,-112.2732
Braulio RodrÌguez,26.893803,-111.981347
Vicente Guerrero,27.281828,-112.894953
Gertrudis Bocanegra,27.297242,-112.908233
Territorio de B.C.,27.853533,-115.170275
Albergue Escolar√Ç¬†Juan Gutierrez Lugue,27.061269,-112.236086
Santos Degollado,27.296106,-112.910375
Paralelo 28,27.643239,-113.457233
Estado de Michoac¡°n,26.708033,-113.575003
Venustiano Carranza,27.145347,-114.294086
Progreso,26.7975,-113.713669
Narciso Mendoza,27.692428,-114.894014
1o. de Septiembre de 1982,27.695497,-114.901203
Estado 30,27.883147,-113.78235
Manuel Marquez de LeÛn,32.544205,-116.650283
20 de Noviembre,27.632369,-112.928617
Amado Nervo,27.959867,-114.056131
Albergue Escolar Victoriano MartÌnez,25.45169,-111.028405
Albergue Escolar Manuela R. de Jes˙s,27.26045,-112.348689
Marcelo Rubio Ruiz,27.969256,-114.044681
Colegio MÈxico,27.958342,-114.056028
Angel Fort Amador,26.890614,-111.981119
David Alfaro Siqueiros,27.975028,-114.0272
Manuel Pineda,26.888897,-111.981072
COBACH No. 6,27.336156,-112.268036
CETIS No. 69,27.970194,-114.034125
CET del Mar,24.141874,-110.341956
Desplazados por asuntos polÌticos,16.755244,-93.079917
ESCUELA PRIMARIA EMILIANO ZAPATA,17.385269,-92.816636
OTRO UNO,16.63027,-93.090248
ESC. PRIM. FEDERAL ,17.33742666,-93.13244658
DOMO CANCHA P√É∆í√Ö¬°BLICA ,17.337427,-93.124207
CASA EJIDAL,16.64723224,-93.75741348
IGLESIA SANTO DOMINGO,15.32808683,-92.65148419
ESC.SEC. TEC. No.49,15.315402,-92.658297
ESC. PRIM. MIGUEL HIDALGO Y COSTILLA,15.32808683,-92.64873761
AUDITORIO MUNICIPAL,17.43273968,-93.09663935
AUDITORIO MUNICIPAL,15.872286,-92.723577
ESC.SEC.DR.BELISARIO DOMINGUEZ,16.66650288,-93.64975668
SALON ANEXO A LA IGLESIA DE SAN LUCAS,16.61137997,-92.71700798
ESC. CONALEP ,14.92983668,-92.17371583
SALON SAN JOSE,14.94191868,-92.16838628
ESC. SEC. TECNICA N∞ 30,14.9353724,-92.16882348
ESC. PRIM. FRANCISCO SARABIA ,14.9368211,-92.16731876
ESC. PRIM. CLUB DE LEONES,14.94516841,-92.16388285
ESC. PRIM. COLEGIO MEXICO,14.936217,-92.171403
UNA NOCHE  DIGNA,16.81573984,-93.10100542
INSTITUTO DE PROTECCION CIVIL,16.7241663,-93.17144394
NUEVO REFUGIO,16.35242635,-92.19486247
Esc. Prim.Venustiano Carranza,15.95340684,-93.36936951
ESC SEC AABELARDO DE LA TORRE GRAJALES,16.69144746,-93.00441753
IGLESIA PENTECOSTES,17.87293367,-93.13778296
ESC. PRIM. VICENTE GUERRERO,14.95955582,-92.20604181
Casa Ejidal Ejido Amado Nervo,17.18081105,-92.33528137
SALON DE ACTOS,16.08705259,-91.6490221
CAS EJIDAL,16.08705259,-91.65309906
Casa Ejidal,17.43708726,-93.02261353
ESC. PRIM. BENITO JUAREZ,14.80405767,-92.25022316
LOCALIDAD LINDA VISTA II SECC.,17.71402325,-92.01118469
ESC  PRIM JAIME NUNO,17.72651622,-92.011314
CASA EJIDAL,15.14457662,-92.4149759
caplilla san agustin,14.992852,-92.216311
ESCUELA PRIMARIA JUSTO SIERRA ,17.61150154,-93.15252112
Esc. Primaria Rafael Ramirez,17.49669087,-92.99240112
ESC. TELES. FEDERAL,16.000101,-91.817024
TELEBACHILLERATO NO. 19,15.963612,-91.96288
ESC. PRIM. LIC. BENITO JUAREZ,14.971444,-92.186424
Esc.Telesecundaria Benemerito de las Americas,15.084201,-92.125753
JARDIN DE NI—OS FRANCISCO CONTRERAS GALVEZ,16.248089,-92.131184
ESC. PRIM. JOSE VASCONCELOS,15.029873,-92.106967
CECATI 34,19.112899,-104.333917
1er. Congreso de An¡°huac,17.54193,-99.499389
Centro de Estudios Tec. Del Mar,16.880894,-99.947763
esc. prim. marÌa Orozco de marrÛn,16.853385,-99.844759
Esc. Prim. CuauhtÈmoc,18.008662,-102.178037
Centro Bachillerato Agropecuario CBTA No. 66,17.127069,-100.357152
Comisaria Municipal,17.007339,-100.086964
Iglesia,17.538241,-101.273773
JardÌn de Ni¡±os Antonio Casoo,17.56244393,-101.3459813
AsociaciÛn Ganadera,17.535844,-101.270822
Comisaria Municipal,17.222675,-100.632361
Colegio de Bachilleres,17.587843,-98.371686
Unidad Deportiva,16.464752,-98.400841
Iglesia Parroquial,16.626694,-98.635958
Comisaria Ejidal,16.62695738,-98.63623177
Esc. Sec. Gral. TeÛfilo Olea Leyva,16.625208,-98.639816
Escuela Conalep 035,17.970708,-102.21652
Escuela Ignacio Lopez Rayon,17.958662,-102.190298
Escuela Vicente Guerrero,17.959949,-102.199363
Auditorio Tecnologico,17.972692,-102.231832
Escuela INCED,18.026749,-102.209587
Esc. Sec. Fed. L·zaro C·rdenas,18.02103,-102.208901
Esc. Prim. Lic. Benito Juarez,19.59261,-102.470924
INSTALACIONES DEL DIF MUNICIPAL,16.473591,-98.421401
CASA DEL PUEBLO,17.05637,-96.724695
CEBETIS NO. 240,15.87951,-97.087475
ESCUELA JUSTO SIERRA,15.872697,-97.082903
ESCUELA PRIMARIA 21 DE MARZO,15.982925,-97.085573
ESCUELA MIGUEL HIDALGO Y COSTILLA,15.886901,-97.065315
ESCUELA PRIMARIA VICENTE GUERRERO,15.876174,-97.069523
ESCUELA SECUNDARIA TECNICA NO. 174,15.861823,-97.074192
ESCUELA PRIMARIA HERMENEGILDO GALEANA,15.885968,-97.081619
AGENCIA MUNICIPAL SAN ANDRES COPALA,15.997151,-97.144665
IGLESIA CATOLICA DE SAN ANDRES COPALA,15.999864,-97.144362
ESCUELA PRIMARIA REVOLUCI”N,15.998526,-97.144682
CENTRO DE SALUD,15.868181,-97.076506
ESCUELA PRIMARIA BENITO JUAREZ,15.985978,-96.981444
ESCUELA SECUNDARIA,15.879356,-97.084959
JARDIN DE NI—OS,15.88168,-97.082025
AGENCIA MUNICIPAL LA REFORMA,15.862531,-97.071482
ESCUELA TELESECUNDARIA,15.985946,-96.981392
ESCUELA PRIMARIA LIC. ADOLFO LOPEZ MATEOS,15.954369,-97.003095
PALACIO MUNICIPAL DE SAN PEDRO MIXTEPEC,15.982623,-97.083716
COBAO 53,15.976529,-97.069814
ESCUELA SECUNDARIA TECNICA NO. 102,15.977656,-97.072809
ESCUELA PRIMARIA MIGUEL HIDALGO,15.881414,-97.069236
ESCUELA PRIMARIA EMILIANO ZAPATA,17.059664,-96.679534
ESCUELA PRIMARIA GUADALUPE VICTORIA,15.998306,-97.063048
CENTRO COMUNITARIO EDUCACION,16.271516,-96.282292
COBAO 40,15.918922,-97.127446
ESCUELA PRIMARIOA ANTONIO CASO,15.921622,-97.115667
JARDIN DE NI—OS CARMEN BAEZ,15.930028,-97.121507
AGENCIA MUNICIPAL DE BAJOS DE CHILA,15.922499,-97.120055
ESCUELA PRIMARIA MIGUEL HIDALGO Y COSTILLA,17.772989,-96.979095
ESCUELA PRIMARIA,16.091008,-97.61561
COBAES 09 GENERAL BENJAMIN HILL,26.714436,-108.328738
ESC. AMADO NERVO,30.154582,-110.244667
ESC. PRIM. B¡Ä∞NITO JU¡ÅREZ BACUM,27.551765,-110.082796
